日期,品类,基准需求S0,最优定价P,加成率P/B-1,预计销量D,补货量R,单位成本B,日利润(元)
2023-07-01,水生根茎类,26.309063512124958,9.0448,0.3333333333333335,21.77048784688192,25.211914124935635,6.7836,49.22742711936941
2023-07-02,水生根茎类,24.10812385913085,9.0448,0.3333333333333335,19.949232219704385,23.10275879525696,6.7836,45.10920389519556
2023-07-03,水生根茎类,9.762550082986973,9.0448,0.3333333333333335,8.078412895171793,9.355428946348342,6.7836,18.266907238562464
2023-07-04,水生根茎类,12.096464756621323,9.0448,0.3333333333333335,10.00970402663298,11.592013927774152,6.7836,22.633942745022498
2023-07-05,水生根茎类,14.292764309513476,9.0448,0.3333333333333335,11.827120017221725,13.696722660361003,6.7836,26.743483782941773
2023-07-06,水生根茎类,16.206755621303262,9.0448,0.3333333333333335,13.410928751924635,15.530896064765068,6.7836,30.32479209385199
2023-07-07,水生根茎类,25.557415887376408,9.0448,0.3333333333333335,21.148506928701973,24.491611961438302,6.7836,47.82100386718091
2023-07-01,花叶类,183.37471592598803,4.916933333333334,0.3333333333333335,273.87483839198046,314.18474061257365,3.6877,336.6560805127022
2023-07-02,花叶类,186.81943737804363,4.916933333333334,0.3333333333333335,279.0196181737683,320.08674793365645,3.6877,342.9802153131352
2023-07-03,花叶类,126.4331078565405,4.916933333333334,0.3333333333333335,188.83108724531917,216.623938562945,3.6877,232.1174668115212
2023-07-04,花叶类,123.98703436607995,4.916933333333334,0.3333333333333335,185.17781379095058,212.4329629355863,3.6877,227.62674130562954
2023-07-05,花叶类,123.70202842846686,4.916933333333334,0.3333333333333335,184.75215011801518,211.94464852359204,3.6877,227.10350133006824
2023-07-06,花叶类,124.04912639894465,4.916933333333334,0.3333333333333335,185.2705498335417,212.53934820872055,3.6877,227.74073554038398
2023-07-07,花叶类,148.9538067827508,4.916933333333334,0.3333333333333335,222.4663283293719,255.20973767279096,3.6877,273.4630263267416
2023-07-01,花菜类,23.547987378335886,9.029466666666666,0.33333333333333326,23.211129784044694,27.4720437732805,6.7721,52.396030670176344
2023-07-02,花菜类,25.81029490359092,9.029466666666666,0.33333333333333326,25.441074650943396,30.111344124681494,6.7721,57.42983388121791
2023-07-03,花菜类,14.815951900101872,9.029466666666666,0.33333333333333326,14.604007421195197,17.28489456881903,6.7721,32.96659955235866
2023-07-04,花菜类,15.450885976371119,9.029466666666666,0.33333333333333326,15.229858667495614,18.025634592846036,6.7721,34.379375294049005
2023-07-05,花菜类,18.07388862503716,9.029466666666666,0.33333333333333326,17.815338858388387,21.08573660597513,6.7721,40.21575209429732
2023-07-06,花菜类,18.66022394553995,9.029466666666666,0.33333333333333326,18.393286561625246,21.76977933675612,6.7721,41.52039197466076
2023-07-07,花菜类,23.127626801558836,9.029466666666666,0.33333333333333326,22.796782530204883,26.98163395692376,6.7721,51.460696990933485
2023-07-01,茄类,29.465829349015085,7.720400000000001,0.3333333333333335,43.72213241206844,46.85183498935752,5.7903,84.38808776853331
2023-07-02,茄类,30.525188409445732,7.720400000000001,0.3333333333333335,45.294035804416744,48.53625782727898,5.7903,87.42201850610478
2023-07-03,茄类,17.71272092050591,7.720400000000001,0.3333333333333335,26.282577024775318,28.1639273733126,5.7903,50.72800191551885
2023-07-04,茄类,14.92323828042951,7.720400000000001,0.3333333333333335,22.143473118824566,23.72853956153511,5.7903,42.7391174666433
2023-07-05,茄类,16.437686592022633,7.720400000000001,0.3333333333333335,24.390649291143006,26.136572322270688,5.7903,47.07639219683512
2023-07-06,茄类,16.27088222064811,7.720400000000001,0.3333333333333335,24.143140805100938,25.871346769289474,5.7903,46.59867606792533
2023-07-07,茄类,19.58308428925051,7.720400000000001,0.3333333333333335,29.05786883476699,31.137879162845035,5.7903,56.084592637983775
2023-07-01,辣椒类,118.10937274392883,7.547066666666667,0.33333333333333326,167.30525302786754,184.33809280285098,5.6603,315.6659745712128
2023-07-02,辣椒类,107.42265833717373,7.547066666666667,0.33333333333333326,152.16722108068979,167.65890379097598,5.6603,287.10404049434277
2023-07-03,辣椒类,62.7696625014109,7.547066666666667,0.33333333333333326,88.91499483314475,97.96716045961298,5.6603,167.7618484180164
2023-07-04,辣椒类,66.61360044632085,7.547066666666667,0.33333333333333326,94.36004119615353,103.96655045852086,5.6603,178.03538039419593
2023-07-05,辣椒类,68.30690793871992,7.547066666666667,0.33333333333333326,96.75865895093602,106.60936420332308,5.6603,182.56101241999437
2023-07-06,辣椒类,76.6783833374077,7.547066666666667,0.33333333333333326,108.61708963476185,119.67506570599588,5.6603,204.93510415321416
2023-07-07,辣椒类,105.47845172311533,7.547066666666667,0.33333333333333326,149.41319765353367,164.62450160151351,5.6603,281.90784089276553
2023-07-01,食用菌,70.54543440576732,7.5544,0.3333333333333335,95.3401905879846,105.29010556375991,5.6658,180.05948394446773
2023-07-02,食用菌,60.55853460490721,7.5544,0.3333333333333335,81.8431735461664,90.38450971415395,5.6658,154.56901755928988
2023-07-03,食用菌,32.66244776824752,7.5544,0.3333333333333335,44.142388823963735,48.749186994990325,5.6658,83.36731553293792
2023-07-04,食用菌,26.8198154498378,7.5544,0.3333333333333335,36.24623390671283,40.02897173574029,5.6658,68.45463735621786
2023-07-05,食用菌,37.48074710210673,7.5544,0.3333333333333335,50.65418623040994,55.94057010536714,5.6658,95.66549611475223
2023-07-06,食用菌,42.54050649587163,7.5544,0.3333333333333335,57.49231018547986,63.49233593095512,5.6658,108.57997701629728
2023-07-07,食用菌,63.20369204818756,7.5544,0.3333333333333335,85.41803018858234,94.33244637060446,5.6658,161.3204918141566
